time difference
2.76250e+01 7.54344e+00
2.76667e+01 -3.32243e+00
2.77083e+01 1.78063e+01
2.77500e+01 -2.41792e+01
2.77917e+01 5.79355e+00
2.78333e+01 1.13506e+00
2.78750e+01 1.05466e+01
2.79167e+01 -1.86813e+01
2.79583e+01 -2.22874e+01
2.80000e+01 1.11142e+01
2.80417e+01 5.03684e+00
2.80833e+01 2.01119e+01
2.81250e+01 1.31833e+01
2.81667e+01 1.41528e+01
2.82083e+01 -6.33744e+00
2.82500e+01 -8.46568e+00
2.82917e+01 1.55362e+01
2.83333e+01 -3.66531e+00
2.83750e+01 1.36799e+01
2.84167e+01 3.33425e+00
2.84583e+01 1.61274e+01
2.85000e+01 6.14826e-01
2.85417e+01 -1.74989e+00
2.85833e+01 1.31833e+01
2.86250e+01 -1.39518e+01
2.86667e+01 2.10696e+01
2.87083e+01 8.48933e+00
2.87500e+01 7.56709e+00
2.87917e+01 -2.44393e+01
2.88333e+01 2.84948e+00
2.88750e+01 2.02893e+01
2.89167e+01 9.11598e+00
2.89583e+01 9.95545e+00
2.90000e+01 -2.05139e+01
2.90417e+01 4.02002e+00
2.90833e+01 1.68368e+01
2.91250e+01 -1.21073e+01
2.91667e+01 -1.44248e+00
2.92083e+01 -2.03366e+00
2.92500e+01 -2.41201e+00
2.92917e+01 2.80219e+00
2.93333e+01 -1.11378e+01
2.93750e+01 -1.16108e+01
2.94167e+01 1.24502e+01
2.94583e+01 -7.80356e+00
2.95000e+01 -1.26512e+00
2.95417e+01 -1.90951e+01
2.95833e+01 3.31060e+00
2.96250e+01 -3.97272e+00
2.96667e+01 6.36108e+00
2.97083e+01 4.45749e+00
2.97500e+01 -1.39873e+01
2.97917e+01 -1.07476e+01
2.98333e+01 1.37154e+01
2.98750e+01 1.30059e+00
2.99167e+01 1.13506e+01
2.99583e+01 -1.17645e+01
3.00000e+01 8.40656e+00
3.00417e+01 -2.51133e+01
3.00833e+01 3.09778e+00
3.01250e+01 -3.73625e+00
3.01667e+01 -5.95908e+00
3.02083e+01 -1.22374e+01
3.02500e+01 1.09841e+01
3.02917e+01 -5.24967e+00
3.03333e+01 -2.26894e+01
3.03750e+01 -6.30197e+00
3.04167e+01 3.40519e+00
3.04583e+01 -5.79355e-01
3.05000e+01 -1.58199e+01
3.05417e+01 1.83265e+00
3.05833e+01 -3.79537e+00
3.06250e+01 5.71079e+00
3.06667e+01 -2.44748e+00
3.07083e+01 -1.99818e+01
